Year,Port_Country,Total_Air_Routes,Total_Flights,Service_Region
2022,China,6,344,NE Asia
2022,Fiji,2,3571,Islands
2022,Hong Kong (SAR),1,466,NE Asia
2022,India,2,1573,S Asia
2022,Indonesia,2,4600,SE Asia
2022,Italy,1,172,Europe
2022,Japan,2,1058,NE Asia
2022,Malaysia,1,2157,SE Asia
2022,Nauru,1,97,Islands
2022,New Caledonia,1,496,Islands
2022,New Zealand,4,11173,S America
2022,Papua New Guinea,1,977,Islands
2022,Philippines,1,1146,SE Asia
2022,Qatar,1,2307,Middle East
2022,Singapore,1,12345,SE Asia
2022,Solomon Is.,1,136,Islands
2022,South Africa,1,310,Africa
2022,South Korea,1,444,NE Asia
2022,Sri Lanka,1,738,S Asia
2022,Taiwan,1,393,NE Asia
2022,Thailand,2,1936,SE Asia
2022,Timor-Leste,1,160,SE Asia
2022,Tonga,1,2,Islands
2022,United Arab Emirates,2,3744,Middle East
2022,United Kingdom,1,2229,Europe
2022,United States of America,4,4612,N America
2022,Vanuatu,1,304,Islands
2022,Vietnam,2,1069,SE Asia
